ID,Champion_Name,Health,Mana,Health_Regen,Mana_Regen,Attack_Demage,Armor,Magic_Resistance,Attack_Speed,Movement_Speed,Range
38,Graves,625,325,8,7,68,33,32,47,340,425
39,Gwen,620,330,8,7,63,39,32,69,340,150
40,Hecarim,650,277,7,6,66,32,32,67,345,175
41,Heimerdinger,558,385,7,8,56,19,30,62,340,550
42,Illaoi,656,300,9,7,68,35,32,62,350,125
43,Irelia,590,350,8,8,65,36,30,65,335,200
44,Ivern,655,450,7,7,50,27,32,64,330,475
45,Janna,570,350,5,4,52,28,30,62,325,500
46,Jarvan IV,640,300,8,4,64,34,32,67,340,175
47,Jax,685,339,8,7,68,36,32,65,350,125
48,Jayce,590,375,6,8,54,22,30,66,335,125
49,Jhin,655,300,4,8,59,24,30,62,330,550
50,Jinx,630,245,4,1,57,26,30,62,325,525
51,Kai'Sa,670,344,3,4,59,28,30,64,335,525
52,Kalista,604,300,4,4,66,24,30,69,330,525
53,Karma,604,374,5,5,51,28,30,62,335,525
54,Karthus,620,467,6,8,46,21,30,62,335,450
55,Kassadin,646,400,6,8,59,19,30,64,335,150
56,Katarina,672,0,7,0,58,28,32,66,335,125
57,Kayle,670,330,5,8,50,26,22,62,335,175
58,Kayn,655,410,8,9,68,38,32,67,340,175
59,Kennen,611,200,5,0,48,29,30,62,335,550
60,Kha'Zix,643,327,7,5,63,36,32,67,350,125
61,Kindred,610,300,7,4,65,29,30,62,325,500
62,Kled,410,100,6,0,65,35,28,62,285,250
64,Kog'Maw,635,325,4,7,61,24,30,66,330,500
65,LeBlanc,598,400,7,8,55,22,30,62,340,525
66,Lee Sin,645,200,7,0,68,36,32,65,345,125
67,Leona,646,302,,8,60,47,32,62,335,125
68,Lillia,625,410,2,9,61,22,32,62,330,325
69,Lissandra,620,475,7,4,55,22,30,65,325,550
70,Lucian,641,348,4,7,60,28,30,63,335,500
71,Lulu,595,350,6,6,47,29,30,62,330,550
72,Lux,560,480,5,8,54,19,30,67,330,550
73,Malphite,644,280,7,5,62,37,28,73,335,125
74,Malzahar,580,375,6,8,55,18,30,62,335,500
75,Maokai,635,375,5,6,64,39,32,80,335,125
76,Master Yi,669,251,7,4,65,33,32,68,355,175
78,Miss Fortune,640,300,4,6,52,28,30,66,325,550
79,Mordekaiser,645,0,5,0,61,37,32,62,335,175
80,Morgana,630,340,5,4,56,25,30,62,335,450
81,Nami,560,365,5,4,51,29,30,64,335,550
82,Nasus,631,326,9,5,67,34,32,64,350,125
83,Nautilus,646,400,8,5,61,39,32,70,325,175
84,Neeko,610,450,7,7,48,21,30,62,340,550
85,Nidalee,610,295,6,8,58,28,30,64,335,525
86,Nilah,570,350,4,7,58,27,32,70,340,225
87,Nocturne,655,275,7,4,62,38,32,72,345,125
88,Nunu & Willump,610,280,5,5,61,29,32,62,345,125
89,Olaf,645,316,6,6,68,35,32,69,350,125
90,Orianna,600,418,7,8,40,17,26,65,325,525
91,Ornn,660,340,9,6,69,33,32,62,335,175
92,Pantheon,650,317,7,4,64,40,28,64,345,175
93,Poppy,610,280,8,7,64,38,32,62,345,125
94,Pyke,670,415,7,1,62,45,32,66,330,150
95,Qiyana,590,320,6,7,66,28,32,69,335,150
96,Quinn,603,269,5,4,59,28,30,69,335,525
97,Rakan,610,315,5,5,62,32,32,63,335,300
98,Rammus,634,310,8,5,56,36,32,65,335,125
99,Rek'Sai,640,100,7,0,64,36,32,66,335,175
100,Rell,610,350,7,3,55,32,32,55,335,175
101,Renata Glasc,545,350,5,5,49,27,30,62,330,550
102,Renekton,660,100,8,0,69,35,32,66,345,125
103,Rengar,620,4,7,0,68,34,32,66,345,125
104,Riven,630,0,8,0,64,33,32,62,340,125
105,Rumble,659,100,8,0,61,36,28,64,345,125
106,Ryze,645,300,8,1,58,22,36,62,340,550
107,Samira,600,348,3,7,57,26,30,66,335,500
108,Sejuani,630,400,8,7,66,34,32,69,340,150
109,Senna,530,350,3,4,50,28,30,62,330,600
110,Seraphine,570,440,6,1,55,19,30,67,325,525
111,Sett,670,0,7,0,60,33,32,69,340,125
112,Shaco,630,297,8,4,63,30,32,64,345,125
113,Shen,610,400,8,0,60,34,32,75,340,125
114,Shyvana,665,100,8,0,66,38,32,65,350,125
115,Singed,650,330,9,5,63,34,32,61,345,125
116,Sion,615,330,7,6,68,32,32,67,345,175
117,Sivir,600,340,3,8,58,26,30,62,335,500
118,Skarner,650,320,9,4,65,38,32,62,335,125
119,Sona,550,340,5,4,49,26,30,64,325,550
120,Soraka,605,425,2,4,50,32,30,62,325,550
121,Swain,595,468,7,8,58,26,30,62,330,525
122,Sylas,575,310,9,8,61,27,32,62,340,175
123,Syndra,593,480,6,8,54,25,30,62,330,550
124,Tahm Kench,640,325,6,1,56,42,32,65,335,175
125,Taliyah,550,470,6,8,58,18,30,62,330,525
126,Talon,658,377,8,8,68,30,39,62,335,125
127,Taric,645,300,6,8,55,40,28,62,340,150
128,Teemo,598,334,5,4,54,24,30,69,330,500
129,Thresh,600,274,7,8,56,28,30,62,330,450
130,Tristana,670,250,4,4,59,26,30,65,325,525
131,Trundle,686,281,6,6,68,37,32,67,350,175
132,Tryndamere,696,100,8,0,72,33,32,67,345,125
133,Twisted Fate,604,333,5,8,52,21,30,65,330,525
134,Twitch,682,287,3,4,59,27,30,68,330,550
135,Udyr,664,271,6,4,62,34,32,65,350,125
136,Urgot,655,340,7,8,63,36,32,62,330,350
137,Varus,600,360,3,8,62,27,30,66,330,575
138,Vayne,550,231,3,4,60,23,30,66,330,550
139,Veigar,575,490,6,8,52,21,32,62,340,550
140,Vel'Koz,590,469,5,8,55,22,30,62,340,525
141,Vex,590,490,6,8,54,23,28,67,335,550
142,Vi,655,295,1,6,63,30,32,64,340,125
143,Viego,630,0,7,0,57,34,32,66,345,200
144,Viktor,600,405,8,8,53,23,30,66,335,525
145,Vladimir,607,2,7,0,55,27,30,66,330,450
146,Volibear,650,350,9,5,60,31,32,62,340,150
147,Warwick,620,280,4,6,65,33,32,64,335,125
148,Wukong,610,300,3,6,68,31,28,68,340,175
149,Xayah,660,340,3,7,60,25,30,62,330,525
150,Xerath,596,459,5,8,55,22,30,62,340,525
151,Xin Zhao,640,274,8,4,63,35,32,64,345,175
152,Yasuo,590,100,6,0,60,30,32,70,345,175
153,Yone,620,500,7,0,60,28,32,62,345,175
154,Yorick,650,300,8,7,62,39,32,62,340,175
155,Yuumi,550,400,7,4,55,25,25,62,330,500
156,Zac,685,0,8,0,60,33,32,74,340,175
157,Zed,654,200,7,0,63,32,32,65,345,125
158,Zeri,600,250,3,8,50,20,30,66,325,500
159,Ziggs,606,480,6,8,54,22,30,62,325,550
160,Zilean,574,452,5,8,52,24,30,62,335,550
161,Zoe,630,425,6,6,58,21,30,62,340,550
162,Zyra,574,418,5,4,53,29,30,62,340,575
